ORSPL,PLANT_NAME,PRIME_MOVER,UNIT_SIZE,FUEL_TYPE,rggi,Low_Income,FIRST_YEAR_OF_OPERATION,MAJ_FUEL_1995,MAJ_FUEL_1996,MAJ_FUEL_1997,MAJ_FUEL_1998,MAJ_FUEL_1999,MAJ_FUEL_2000,MAJ_FUEL_2001,MAJ_FUEL_2002,MAJ_FUEL_2003,MAJ_FUEL_2004,MAJ_FUEL_2005,MAJ_FUEL_2006,MAJ_FUEL_2007,MAJ_FUEL_2008,MAJ_FUEL_2009,MAJ_FUEL_2010,MAJ_FUEL_2011,MAJ_FUEL_2012,MAJ_FUEL_2013,MAJ_FUEL_2014,MAJ_FUEL_2015,MAJ_FUEL_2016
3,Barry,CC,>=25,Natural Gas,0,0,1954,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
3,Barry,ST,>=25,Coal,0,0,1954,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
7,Gadsden,ST,>=25,Natural Gas,0,1,1949,Coal,Coal,Coal,Coal,Coal,Coal,,,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Natural Gas,Natural Gas,Coal,Natural Gas,
8,Gorgas,ST,>=25,Coal,0,1,1951,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
9,Copper,GT,>=25,Natural Gas,0,1,1980,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
54628,Phelps Dodge Refining,GT,<25,Natural Gas,0,1,1986,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
10,Greene County,GT,>=25,Natural Gas,0,1,1965,,,,Oil,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
10,Greene County,ST,>=25,Coal,0,1,1965,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
26,E C Gaston,GT,<25,Oil,0,0,1960,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil
26,E C Gaston,ST,>=25,Coal,0,0,1960,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
30,Madelia,IC,<25,Oil,0,0,1954,Oil,Natural Gas,Natural Gas,,,,,,Natural Gas,Oil,Natural Gas,Oil,,,,,,,,,,
47,Colbert,GT,>=25,Natural Gas,0,0,1955,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
47,Colbert,ST,>=25,Coal,0,0,1955,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
51,Dolet Hills,ST,>=25,Coal,0,1,1986,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
54091,Mansfield Mill,GT,>=25,Natural Gas,0,1,1981,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
54091,Mansfield Mill,ST,>=25,Biomass,0,1,1981,,,,,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass,Biomass
54,J K Smith,GT,>=25,Natural Gas,0,0,1999,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
56,Charles R Lowman,ST,>=25,Coal,0,0,1969,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
59,Platte,ST,>=25,Coal,0,0,1982,Coal,Coal,Coal,Coal,Coal,Coal,,,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,
60,Whelan Energy Center,ST,>=25,Coal,0,0,1981,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
2225,Campbell Village,IC,<25,Oil,0,0,1927,,,,,,,,,Oil,Oil,,,Oil,Oil,,,,,,,,
63,Gold Creek,IC,<25,Oil,0,0,1914,Oil,Oil,Oil,Oil,Oil,Oil,,,Oil,Oil,,,Oil,Oil,Oil,Oil,Oil,,Oil,Oil,Oil,
64,Lemon Creek,GT,<25,Oil,0,0,1969,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,,Oil,Oil,Oil,,Oil,Oil,Oil,Oil,Oil,Oil
64,Lemon Creek,IC,<25,Oil,0,0,1969,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,,Oil,Oil,Oil,,Oil,Oil,Oil,Oil,Oil,Oil
66,Skagway,IC,<25,Oil,0,0,1909,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,Oil,,Oil,Oil,,
69,Haines,IC,<25,Oil,0,0,1968,Oil,Oil,Oil,,,,,,,Oil,Oil,,Oil,,,,Oil,,Oil,,,
79,Aurora Energy LLC Chena,ST,<25,Coal,0,0,1952,Coal,Coal,Coal,Coal,,,,,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,
85,S W Bailey,IC,<25,Oil,0,0,1969,Oil,Oil,Oil,,,,,,Oil,,,Oil,Oil,Oil,Oil,,Oil,Oil,Oil,,,
90,Snake River,IC,<25,Oil,0,0,1972,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
91,Petersburg,IC,<25,Oil,0,0,1954,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
92,Seward (AK),IC,<25,Oil,0,0,1965,,,,,,,,,,Oil,Oil,Oil,Oil,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
95,Wrangell,IC,<25,Oil,0,1,1964,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
96,Beluga,CC,>=25,Natural Gas,0,1,1968,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
96,Beluga,GT,<25,Natural Gas,0,1,1968,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
