ORSPL,PLANT_NAME,rggi,Low_Income,PRIME_MOVER,Year,fuel
3,Barry,0,0,CC,1995,
3,Barry,0,0,ST,1995,Coal
7,Gadsden,0,1,ST,1995,Coal
8,Gorgas,0,1,ST,1995,Coal
9,Copper,0,1,GT,1995,Natural Gas
54628,Phelps Dodge Refining,0,1,GT,1995,
10,Greene County,0,1,GT,1995,
10,Greene County,0,1,ST,1995,Coal
26,E C Gaston,0,0,GT,1995,Oil
26,E C Gaston,0,0,ST,1995,Coal
30,Madelia,0,0,IC,1995,Oil
47,Colbert,0,0,GT,1995,Natural Gas
47,Colbert,0,0,ST,1995,Coal
51,Dolet Hills,0,1,ST,1995,Coal
54091,Mansfield Mill,0,1,GT,1995,
54091,Mansfield Mill,0,1,ST,1995,
54,J K Smith,0,0,GT,1995,Oil
56,Charles R Lowman,0,0,ST,1995,Coal
59,Platte,0,0,ST,1995,Coal
60,Whelan Energy Center,0,0,ST,1995,Coal
2225,Campbell Village,0,0,IC,1995,
63,Gold Creek,0,0,IC,1995,Oil
64,Lemon Creek,0,0,GT,1995,Oil
64,Lemon Creek,0,0,IC,1995,Oil
66,Skagway,0,0,IC,1995,Oil
69,Haines,0,0,IC,1995,Oil
79,Aurora Energy LLC Chena,0,0,ST,1995,Coal
85,S W Bailey,0,0,IC,1995,Oil
90,Snake River,0,0,IC,1995,Oil
91,Petersburg,0,0,IC,1995,Oil
92,Seward (AK),0,0,IC,1995,
95,Wrangell,0,1,IC,1995,Oil
96,Beluga,0,1,CC,1995,Natural Gas
96,Beluga,0,1,GT,1995,Natural Gas
96,Beluga,0,1,GT,1995,Natural Gas
108,Holcomb,0,0,ST,1995,Coal
109,Dillingham,0,1,IC,1995,Oil
6348,Togiak,0,1,IC,1995,Oil
60245,New Stuyahok,0,1,IC,1995,
113,Cholla,0,0,ST,1995,Coal
114,Douglas,0,1,GT,1995,Oil
114,Douglas,0,1,GT,1995,Oil
116,Ocotillo,0,1,GT,1995,Natural Gas
116,Ocotillo,0,1,ST,1995,Natural Gas
117,West Phoenix,0,1,CC,1995,Natural Gas
117,West Phoenix,0,1,GT,1995,Natural Gas
117,West Phoenix,0,1,ST,1995,
117,West Phoenix,0,1,ST,1995,
