Year,Source Name,ORIS Code,Unit ID,State,State Identifier,Control Period,Op Time,Op Hours,CO2 Mass (Tons),Heat Input (mmBtu),Eligible Biomass (Tons) (State Value),Eligible CHP Thermal Output (Tons) (State Value),Reporting Status
2009,Devon,544,11,CT,105-14,01/01/2009 - 12/31/2011,70.45,100,"1,951.25","24,110",0,0,Complete
2010,Devon,544,11,CT,105-14,01/01/2009 - 12/31/2011,107.16,145,"2,727.27","34,493",0,0,Complete
2011,Devon,544,11,CT,105-14,01/01/2009 - 12/31/2011,46.25,61,"1,151.67","14,772",0,0,Complete
2012,Devon,544,11,CT,105-14,01/01/2012 - 12/31/2014,34.9,46,655.785,"10,081",0,0,Complete
2013,Devon,544,11,CT,105-14,01/01/2012 - 12/31/2014,25.92,40,670.638,"8,442",0,0,Complete
2014,Devon,544,11,CT,105-14,01/01/2012 - 12/31/2014,40.19,63,"1,047.40","13,413",0,0,Complete
2015,Devon,544,11,CT,105-14,01/01/2015 - 12/31/2017,11.57,21,248.432,"3,094",0,0,Complete
2016,Devon,544,11,CT,105-14,01/01/2015 - 12/31/2017,23.9,39,626.542,"8,495",0,0,Complete
2017,Devon,544,11,CT,105-14,01/01/2015 - 12/31/2017,89.52,114,"2,380.60","35,808",0,0,Complete
2018,Devon,544,11,CT,105-14,01/01/2018 - 12/31/2020,103.53,131,"2,781.10","41,412",0,0,Complete
2019,Devon,544,11,CT,105-14,01/01/2018 - 12/31/2020,7.76,16,219.3,"3,104",0,0,Complete
2020,Devon,544,11,CT,105-14,01/01/2018 - 12/31/2020,29.89,48,896.7,"11,956",0,0,Complete
2021,Devon,544,11,CT,105-14,01/01/2021 - 12/31/2023,18.21,36,590.2,"7,284",0,0,Complete
2022,Devon,544,11,CT,105-14,01/01/2021 - 12/31/2023,45,65,"1,420.40","18,000",0,0,Complete
2023,Devon,544,11,CT,105-14,01/01/2021 - 12/31/2023,28.36,46,880.8,"11,344",0,0,Complete
2024,Devon,544,11,CT,105-14,01/01/2024 - 12/31/2026,1.57,2,50.9,628,0,0,Incomplete
2009,Devon,544,12,CT,105-14,01/01/2009 - 12/31/2011,65.73,98,"1,803.73","22,459",0,0,Complete
2010,Devon,544,12,CT,105-14,01/01/2009 - 12/31/2011,78.54,112,"2,095.31","25,823",0,0,Complete
2011,Devon,544,12,CT,105-14,01/01/2009 - 12/31/2011,42.16,61,997.047,"12,870",0,0,Complete
2012,Devon,544,12,CT,105-14,01/01/2012 - 12/31/2014,10.74,25,233.358,"3,040",0,0,Complete
2013,Devon,544,12,CT,105-14,01/01/2012 - 12/31/2014,26.63,38,666.973,"8,633",0,0,Complete
2014,Devon,544,12,CT,105-14,01/01/2012 - 12/31/2014,32.33,47,836.338,"10,348",0,0,Complete
2015,Devon,544,12,CT,105-14,01/01/2015 - 12/31/2017,13.2,23,280.289,"3,474",0,0,Complete
2016,Devon,544,12,CT,105-14,01/01/2015 - 12/31/2017,40.6,66,967.903,"13,832",0,0,Complete
2017,Devon,544,12,CT,105-14,01/01/2015 - 12/31/2017,80.94,109,"2,183.00","32,376",0,0,Complete
2018,Devon,544,12,CT,105-14,01/01/2018 - 12/31/2020,110.47,137,"2,885.30","44,188",0,0,Complete
2019,Devon,544,12,CT,105-14,01/01/2018 - 12/31/2020,4.48,10,145,"1,792",0,0,Complete
